participant_id,AET1,AET2,AET3,AET4,CLA1,CLA2,CLA3,CLA4,ALU1,ALU2,ALU3,ALU4,RDG1,RDG2,RDG3,RDG4,WHC1,WHC2,WHC3,WHC4,CEJ1,CEJ2,CEJ3,CEJ4,AISE1,AISE2,AISE3,AISE4,PEC1,PEC2,PEC3,PEC4,PI1,PI2,PI3,PI4,SD1,SD2,SD3,SD4,AET,CLA,ALU,RDG,WHC,CEJ,AI_Readiness_Total,ai_self_efficacy,prompt_engineering_confidence,political_interest,social_desirability,general_cognitive_ability,prior_coding_experience_years,programming_self_efficacy,coding_knowledge_test,coding_accuracy,debugging_score,code_quality_rating,coding_efficiency,coding_performance_task
11,2.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,3.75,2.0,4.0,4.0,3.25,3.3333333333333335,4.0,4.25,2.5,2.5,-0.006520999537981749,1.1,0.6028801346108098,1.4874292262335995,0.1670591902133569,-0.08744612147587841,0.26789727998109336,0.6267483767838409,0.7875949227064037
12,2.0,1.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,,3.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,,,1.75,4.25,3.3333333333333335,3.75,3.0,4.75,3.4722222222222228,3.25,3.0,4.25,1.5,1.3038687688237838,5.4,-0.14232045423345194,2.282686289573154,0.5403818373822229,1.0418891363396798,1.497981761469229,0.6271954022923621,0.6671479455000403
13,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,,5.0,4.0,5.0,4.25,3.75,3.25,2.75,3.5,3.75,3.5,3.5,2.75,4.333333333333333,-0.8024625666409418,5.5,-0.36193242053703983,,0.25113734987476033,1.0853720841711822,-0.06492131463912959,-0.6743995126730786,0.4073414307101
14,2.0,1.0,,3.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,,4.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,,3.0,5.0,3.0,2.0,2.25,2.25,3.5,3.5,1.75,2.5416666666666665,4.333333333333333,2.0,3.25,3.6666666666666665,0.12974989905527617,4.7,0.8957184558542679,0.15297529139393887,-0.011454571669817643,0.6138793937494175,0.426039329116837,0.2957614906500919,0.5774892235568709
15,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,4.0,1.0,2.25,2.25,1.25,2.0,2.5,2.5,2.125,2.25,3.5,3.5,2.5,0.4233991423319264,2.9,0.6342802041555905,0.39247946061695055,-0.5697215895553615,-0.5798582570485418,0.7560246736996712,-0.7458640611013738,-0.9205672436823136
16,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,2.75,1.5,2.5,2.25,3.75,1.0,2.2916666666666665,1.75,1.5,3.0,3.25,0.17258154521529165,2.3,0.09838699479942338,0.1288816223520871,-0.8295529923312602,-0.9611140731935122,-0.4325686123054779,0.46424416933219437,-0.19286679794617223
17,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,5.0,4.0,3.0,,1.0,1.0,1.0,1.75,1.5,2.0,1.75,1.75,1.5,1.7083333333333333,1.0,1.0,4.25,1.0,0.16214504735524216,2.5,-1.706131114036748,-0.02633230817840025,-1.384293142187515,-1.0404495946256522,-1.5451884536705809,-0.7562458280881386,-1.2533012773336403
18,4.0,4.0,4.0,,5.0,5.0,4.0,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,4.5,2.3333333333333335,1.5,3.25,2.0,2.930555555555556,2.75,1.75,4.25,2.75,-1.281499353499983,0.2,0.7364399734285108,-0.8488919276025286,-0.4419348068378445,-0.24930580476813616,-0.8615017041463495,-1.0499465528461094,-0.9909450885332859
19,4.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,,4.0,2.0,4.0,3.0,2.0,4.0,3.75,3.5,2.75,4.333333333333333,3.75,3.6805555555555554,3.25,4.0,3.0,2.75,0.18447310408498835,2.5,0.16473396826005085,0.48662984145353716,0.6852506157346381,0.514959234062048,1.2270011683140234,0.16962008325561664,0.6883736524948796
20,5.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,4.75,2.5,4.25,2.25,2.25,3.75,3.2916666666666665,4.25,5.0,3.25,2.0,2.1127531491556146,2.8,0.7837398994239894,-0.38834141368346103,1.1731908004809952,0.81945199024145,0.9032532444929723,0.13320223078922508,0.9182037076355348
21,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,,1.0,2.0,2.0,3.0,1.0,3.0,4.0,2.75,2.25,1.75,2.0,3.25,1.0,2.1666666666666665,2.5,2.5,1.6666666666666667,2.75,-1.861520522409646,0.4,0.2614901373927811,-1.773217833080626,-2.0556102367483615,-1.2847187753877045,-1.51474739083188,-2.124811743074232,-1.5376264781808209
22,4.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.25,3.5,4.75,2.75,3.75,2.25,3.375,2.5,1.0,1.0,2.5,1.3900591099115551,2.1,-0.8175537057386374,-0.01145537980331189,-0.4286222424112751,-0.3514691259091604,-0.3505329648974282,0.4910612952895972,-0.2830241028827734
23,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,,4.0,,1.0,2.0,,5.0,2.0,4.0,3.0,2.25,4.25,3.25,4.25,4.0,3.0,3.5,4.0,4.0,1.5,3.5,0.859742519642768,5.8,-0.10209905917183267,1.1131360374194839,1.1726861117039107,0.39484952513282584,-0.0942113582205512,0.7353476798795245,0.5244942183794855
24,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,,3.0,3.0,,4.0,5.0,5.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,4.25,4.25,3.25,3.75,3.5,2.5,3.5833333333333335,3.0,4.666666666666667,2.25,3.25,-0.7053186831160554,2.6,0.11615624838286313,-0.5874895108122077,0.08533485136391943,-0.3169565391648586,-0.6710040254828824,-0.09397642360857084,-0.5560349198860189
25,4.0,4.0,3.0,3.0,3.0,,5.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,,4.0,4.0,3.0,4.0,3.5,3.3333333333333335,4.0,4.0,5.0,2.25,3.680555555555556,4.0,2.5,2.3333333333333335,3.75,-0.01856823111782959,4.6,-0.02850417799400109,-0.6993741229454675,-0.7007440646976701,-1.2214058392545968,-0.6515053944793531,-0.5353742505509832,-0.7725087105048878
26,2.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.75,1.5,1.75,3.0,2.5,1.0,2.0833333333333335,1.25,1.25,3.75,1.75,-0.2761691792363863,4.0,-0.9221537275999261,-1.074827701653354,-1.145724103492318,-1.7059272833324057,-0.960368241284249,-0.7854810072094789,-0.8579846229404252
27,3.0,1.0,1.0,4.0,1.0,,2.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.25,1.3333333333333333,4.0,2.0,1.75,4.5,2.638888888888889,3.5,1.25,2.0,1.5,-0.5583410140312626,3.6,-0.08457970094250317,-1.1516307797242598,-0.8025134253826866,-0.1819275264507562,-0.1586472903680432,-0.6472683686661408,-0.8862092063339772
28,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,1.25,1.5,2.0,2.5,4.0,3.0,2.375,2.5,1.25,3.0,4.0,0.45242427127204676,1.4,-1.3191163477911478,0.1929883720154534,0.1638157119226947,-0.7886046806104452,-1.505961045506973,-0.9462525126040395,-0.9053487680878172
29,2.0,5.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.75,3.75,2.5,2.25,2.5,3.25,2.8333333333333335,2.5,2.0,1.5,2.5,0.7282467746203684,5.0,0.8950126161565387,-0.6520820700674287,0.0065663714026383425,-0.9150294241300027,0.013579829570984104,0.5256228044211977,-0.16826690786230583
30,1.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,2.25,1.75,2.25,4.0,1.0,4.0,2.5416666666666665,2.75,2.0,3.25,2.5,0.21576519822447227,1.7,-1.7748521434399085,0.6626923526053841,0.14540338429513064,0.5054398913738966,0.026246500133514733,-0.5072610762774817,-0.06409034158393598
31,3.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.5,2.25,4.5,2.0,2.3333333333333335,2.5972222222222223,2.0,1.0,3.25,2.0,1.1369374837262975,10.6,0.226979171851658,1.4746135316645166,1.29345824425533,1.3943835177875783,0.45026984025611977,0.5459059074967778,1.2153731208512175
32,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,2.5,2.25,2.5,2.2083333333333335,3.5,1.25,3.75,3.0,1.7046375647136716,1.8,0.512881330043309,-2.2438939157927513,0.04919348121849422,-0.2895000389412755,0.09798209327566838,1.8795576346225928,0.6538295225358657
33,5.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.25,2.5,3.0,2.5,3.0,3.25,3.0833333333333335,3.6666666666666665,1.25,1.25,3.0,-0.9559348289867667,4.0,0.1415115753558376,1.2081788670572626,0.5487347533800816,-0.06072511887277065,-0.5304071037718145,0.533336743515499,-0.20498202750095085
34,3.0,5.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,2.0,4.0,,4.0,4.0,5.0,5.0,4.0,5.0,1.0,4.0,1.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,3.5,3.75,4.0,4.75,4.0,4.0,4.0,4.75,2.75,3.25,2.75,-1.2692112032289824,1.3,0.3460917157661987,-0.6673377534291801,-0.045239290921541546,-0.1568469936819111,0.6512819298856666,0.3338116679588081,0.21986232070079764
35,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,,5.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,5.0,4.0,3.75,5.0,3.5,4.333333333333333,3.25,3.0,3.8055555555555554,3.0,3.25,3.75,3.0,-0.38427588867517204,5.9,1.2270539036920771,1.264574589215288,1.8284774274218305,0.5282727226101747,0.5351891153557456,0.11797272643407594,2.030497708656282
36,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,,3.0,3.0,1.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,2.25,3.5,2.0,2.3333333333333335,3.75,3.5,2.8888888888888893,1.75,1.75,3.75,3.75,0.1263613095410112,4.1,2.1863904343241596,-1.0829062607108755,-0.1508089434922729,-0.0071948759452613404,-0.026381293264632403,-0.33498530564712053,-0.26543446929336106
37,2.0,1.0,2.0,1.0,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,1.5,2.3333333333333335,1.5,2.0,1.25,2.75,1.888888888888889,2.6666666666666665,3.0,3.25,3.25,-1.358146552801266,2.1,0.5400196883306675,-0.40006926855872754,-1.4486407824053964,-1.4325939399295893,-0.3980819166747799,-1.2729417008775241,-1.5615116856882287
38,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,,4.0,,4.0,2.0,3.0,2.0,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,1.0,2.0,3.0,1.0,3.0,4.0,5.0,3.0,3.5,3.5,2.0,4.0,2.0,2.3333333333333335,2.888888888888889,1.0,2.3333333333333335,1.75,3.75,0.879285414580236,1.3,-0.40495408562157004,0.0552942814051647,-0.4799768308615658,0.28859147115749345,-0.6298392550415318,-0.181727017738577,-0.7615722837110894
39,4.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,,5.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.5,3.25,2.6666666666666665,4.75,3.5,3.25,3.4861111111111107,4.0,2.25,4.0,3.75,2.3793233510640155,5.3,0.6829039926027689,-0.9108022880736162,0.7005454899313216,-0.2907197236875389,0.6559956395258032,1.1212275876273643,-0.09161027609330635
40,4.0,,4.0,,5.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,1.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,4.75,2.5,2.5,4.0,4.25,3.6666666666666665,3.0,3.0,2.5,4.0,1.8224076321161018,4.8,0.8867403350061005,2.5929934407189164,2.2541477183761303,1.2592110379873034,1.161864449451469,1.4740946233999592,1.328490663809507
41,4.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,5.0,1.0,4.0,1.0,2.0,3.75,1.5,1.75,2.5,2.5,2.0,2.3333333333333335,2.5,2.25,4.5,2.0,0.08113598628911728,15.0,-0.5633861730650168,-0.12122474999471668,0.03087536550973558,1.502160513833603,0.022747549252494437,0.4796413527461073,0.9633634703596523
42,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,4.25,5.0,4.5,3.75,3.5,4.333333333333333,5.0,4.25,4.25,2.75,0.5945796757368235,0.4,1.3121069602710043,-0.4281552690164834,1.5035066813607547,-0.5185655256767964,1.0753485138279495,1.2348873669507667,1.3516895196229457
43,2.0,3.0,,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,5.0,3.0,3.0,4.25,4.5,3.0,3.25,5.0,3.8333333333333335,4.5,3.25,1.75,3.75,0.49052092285846144,1.7,0.5696335382884606,1.476337507329004,0.6777816131882275,0.6262320781319354,0.19722065670108693,0.9052959391217518,0.9468277707152294
44,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,,4.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.25,3.0,3.5,2.5,3.75,2.0,3.0,3.3333333333333335,1.75,3.75,2.75,-0.005739902818538273,3.5,-0.08409042427215899,-0.3835244616938701,-0.09784790653305851,-0.7703055966438996,-0.2693267921662283,-0.05415673083411346,0.02919690788153978
45,3.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,,2.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,4.25,2.3333333333333335,4.0,4.25,3.5,3.555555555555556,3.5,3.0,3.25,2.25,0.5270287958467255,8.5,1.0596211162807627,0.04997319552371298,1.5351419778574604,2.0074777557253083,-0.0554801178224946,1.3445078327583253,1.5206055148140696
46,5.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,,3.0,2.0,2.0,2.0,1.0,3.0,1.0,,5.0,4.0,3.0,,4.0,4.0,,2.0,4.0,,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,3.5,3.0,3.0,2.0,3.3333333333333335,3.6666666666666665,3.0833333333333335,3.0,2.5,3.5,2.25,-0.9821772732735664,5.6,-0.5797418293328871,-1.615367920203262,-1.982901433249616,0.01172069318057549,-2.2502492726072196,0.02266748730547508,-1.2755237694723345
